sample_id,file_path,document_title,slot_type,owner,project,supplier,document_version
15,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_QDB_Developers_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 QDB Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
16,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_SMMUMAN_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 SMMUMAN Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
17,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_System_Analysis_Toolkit_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 System Analysis Toolkit Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
18,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_System_Architecture_20230501.pdf","QNX Neutrino RTOS 7.1 System Architecture",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
19,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_System_Security_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 System Security Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
20,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Technical_Notes_20230501.pdf","QNX Neutrino RTOS 7.1 Technical Notes",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
21,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_The_QNX_Neutrino_Cookbook_20230501.pdf","QNX Neutrino RTOS 7.1 The QNX Neutrino Cookbook",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
22,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Users_Guide_20230501.pdf","QNX Neutrino RTOS 7.1 Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
23,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Utilities_Reference_20230501.pdf","QNX Neutrino RTOS 7.1 Utilities Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
24,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_WPA_Control_Interface_Reference_20230501.pdf","QNX Neutrino RTOS 7.1 WPA Control Interface Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
25,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_Neutrino_RTOS_7.1_Writing_a_Resource_Manager_20230501.pdf","QNX Neutrino RTOS 7.1 Writing a Resource Manager",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
26,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_ADAS_Library_Developers_Guide_20230501.pdf","QNX SDP 7.1 ADAS Library Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
27,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Adding_Multimedia_to_Target_Images_20230501.pdf","QNX SDP 7.1 Adding Multimedia to Target Images",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
28,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Audio_Developers_Guide_20230501.pdf","QNX SDP 7.1 Audio Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
29,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Camera_Developers_Guide_20230501.pdf","QNX SDP 7.1 Camera Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
30,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Core_Networking_Stack_Users_Guide_20230501.pdf","QNX SDP 7.1 Core Networking Stack Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
31,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Gestures_Library_Reference_20230501.pdf","QNX SDP 7.1 Gestures Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
32,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Getting_Started_with_the_R-Car_V3H_Image_20230501.pdf","QNX SDP 7.1 Getting Started with the R-Car V3H Image",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
33,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Getting_Started_with_the_Sensor_Framework_20230501.pdf","QNX SDP 7.1 Getting Started with the Sensor Framework",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
34,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Getting_Started_with_the_VMware_Image_20230501.pdf","QNX SDP 7.1 Getting Started with the VMware Image",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
35,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Getting_Started_with_the_iMX8QM_Image_20230501.pdf","QNX SDP 7.1 Getting Started with the iMX8QM Image",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
36,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_High-Performance_Networking_Stack_Users_Guide_20230501.pdf","QNX SDP 7.1 High-Performance Networking Stack Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
37,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_High_Availability_Framework_Developers_Guide_20230501.pdf","QNX SDP 7.1 High Availability Framework Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
38,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_IDE_Users_Guide_20230501.pdf","QNX SDP 7.1 IDE Users Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
39,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Image_Library_Reference_20230501.pdf","QNX SDP 7.1 Image Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
40,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Input_Events_Library_Reference_20230501.pdf","QNX SDP 7.1 Input Events Library Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
41,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Migrating_to_QNX_SDP_7.1_20230501.pdf","QNX SDP 7.1 Migrating to QNX SDP 7.1",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
42,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Multimedia_Renderer_Developers_Guide_20230501.pdf","QNX SDP 7.1 Multimedia Renderer Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
43,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Multimedia_Streaming_Server_Reference_20230501.pdf","QNX SDP 7.1 Multimedia Streaming Server Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
44,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Multimedia_Test_Utilities_Guide_20230501.pdf","QNX SDP 7.1 Multimedia Test Utilities Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
45,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Networking_Middleware_Architecture_Guide_20230501.pdf","QNX SDP 7.1 Networking Middleware Architecture Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
46,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Networking_Middleware_C_API_Reference_20230501.pdf","QNX SDP 7.1 Networking Middleware C API Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
47,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Networking_Middleware_Services_Reference_20230501.pdf","QNX SDP 7.1 Networking Middleware Services Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
48,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_OpenWF_Display_Configuration_Developers_Guide_20230501.pdf","QNX SDP 7.1 OpenWF Display Configuration Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
49,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_PAM_Reference_20230501.pdf","QNX SDP 7.1 PAM Reference",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
50,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_QNX_Additions_to_OpenMAX_AL_20230501.pdf","QNX SDP 7.1 QNX Additions to OpenMAX AL",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
51,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_QNX_Helpers_Developers_Guide_20230501.pdf","QNX SDP 7.1 QNX Helpers Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
52,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_QNX_Persistent_Publish_Subscribe_Developers_Guide_20230501.pdf","QNX SDP 7.1 QNX Persistent Publish Subscribe Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
53,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_QNX_Video_Capture_20230501.pdf","QNX SDP 7.1 QNX Video Capture",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
54,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Quickstart_Guide_20230501.pdf","QNX SDP 7.1 Quickstart Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
55,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Screen_Graphics_Subsystem_Developers_Guide_20230501.pdf","QNX SDP 7.1 Screen Graphics Subsystem Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
56,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Sensor_Developers_Guide_20230501.pdf","QNX SDP 7.1 Sensor Developers Guide",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
57,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Sensor_Framework_Architecture_20230501.pdf","QNX SDP 7.1 Sensor Framework Architecture",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
58,"/root/qnx-sdk/qnx/qnx-sdp/doc/QNX_SDP_7.1_Sensor_Framework_Services_20230501.pdf","QNX SDP 7.1 Sensor Framework Services",supplier_pdf,qnx_team,ClusterHMI,QNX,7.1
